epoch,accuracy
0,44.40
1,46.98
2,46.55
3,46.34
4,48.28
5,53.45
6,54.09
7,55.60
8,57.97
9,58.41
10,59.91
11,58.62
12,59.91
13,60.78
14,60.78
15,62.50
16,61.42
17,62.28
18,60.99
19,63.36
20,67.24
21,69.18
22,69.61
23,73.06
24,72.63
25,72.84
26,73.28
27,72.84
28,75.43
29,75.65
30,76.29
31,75.43
32,80.82
33,80.60
34,82.54
35,82.11
36,84.48
37,83.41
38,85.78
39,86.42
40,86.85
41,87.07
42,86.64
43,89.44
44,91.59
45,91.16
46,93.10
47,91.81
48,92.03
49,92.46
50,93.10
51,94.18
52,95.04
53,94.83
54,93.97
55,94.61
56,95.26
57,94.40
58,95.91
59,96.98
60,96.12
61,95.91
62,95.04
63,95.91
64,96.98
65,94.40
66,95.26
67,95.91
68,96.98
69,97.20
70,96.34
71,94.61
72,96.77
73,95.69
74,97.63
75,98.49
76,97.63
77,96.77
78,97.41
79,96.34
80,96.77
81,98.71
82,97.84
83,98.06
84,95.91
85,98.71
86,97.20
87,98.49
88,98.71
89,99.35
90,99.35
91,99.57
92,98.92
93,98.28
94,98.92
95,98.71
96,97.84
97,98.28
98,97.84
99,97.63
100,97.84
101,98.06
102,99.35
103,98.49
104,99.35
105,99.14
106,98.06
107,98.49
108,99.14
109,99.35
110,99.57
111,99.35
112,99.14
113,99.35
114,99.14
115,99.78
116,99.14
117,99.35
118,99.57
119,99.14
120,99.78
121,99.57
122,98.92
123,98.92
124,99.35
125,99.35
126,98.92
127,99.78
128,99.78
129,99.57
130,99.57
131,99.35
132,99.35
133,99.35
134,99.57
135,98.71
136,97.84
137,98.71
138,99.14
139,98.92
140,99.57
141,99.78
142,99.35
143,99.78
144,99.35
145,98.28
146,98.92
147,99.14
148,99.35
149,98.49
150,98.92
151,99.57
152,99.14
153,99.78
154,99.57
155,99.35
156,99.78
157,99.35
158,99.14
159,99.14
160,99.57
161,99.35
162,99.35
163,98.49
164,99.35
165,99.35
166,99.35
167,99.14
168,99.14
169,99.35
170,99.78
171,99.35
172,98.92
173,99.35
174,99.14
175,98.49
176,99.35
177,99.78
178,99.35
179,99.57
180,98.92
181,99.35
182,99.35
183,99.35
184,99.35
185,99.78
186,99.57
187,99.14
188,99.35
189,99.35
190,99.78
191,99.78
192,98.92
193,99.57
194,99.57
195,99.57
196,97.84
197,99.57
198,99.35
199,99.57
200,99.57
201,99.57
202,99.35
203,99.78
204,99.35
205,99.57
206,99.78
207,98.92
208,99.35
209,99.57
210,98.71
211,99.35
212,99.57
213,99.35
214,98.92
215,99.57
216,99.57
217,99.78
218,100.00
219,99.78
220,99.78
221,99.78
222,99.78
223,99.78
224,99.57
225,99.78
226,99.57
227,99.78
228,99.57
229,99.35
230,99.78
231,99.35
232,99.57
233,99.78
234,99.35
235,99.14
236,99.57
237,99.78
238,99.35
239,99.78
240,99.78
241,99.78
242,99.78
243,99.78
244,99.78
245,99.57
246,99.78
247,99.78
248,99.35
249,99.57
250,99.35
251,100.00
252,99.57
253,99.78
254,99.35
255,99.35
256,99.57
257,99.78
258,99.78
259,99.78
260,99.57
261,99.57
262,99.35
263,99.78
264,99.78
265,98.28
266,99.57
267,99.57
268,98.71
269,99.78
270,99.78
271,99.78
272,99.78
273,99.78
274,99.78
275,99.57
276,99.57
277,99.57
278,99.57
279,99.57
280,99.35
281,99.78
282,99.78
283,99.57
284,99.78
285,99.57
286,99.78
287,100.00
288,99.78
289,99.78
290,99.78
291,99.78
292,99.78
293,99.78
294,99.57
295,99.78
296,99.78
297,99.78
298,99.78
299,99.78
300,99.57
301,99.78
302,99.78
303,99.78
304,99.78
305,99.57
306,99.78
307,99.78
308,99.78
309,100.00
310,99.78
311,99.78
312,100.00
313,99.78
314,99.78
315,99.14
316,99.78
317,99.78
318,99.78
319,99.78
320,99.78
321,99.78
322,99.78
323,99.78
324,99.78
325,99.78
326,99.78
327,99.78
328,99.78
329,99.78
330,99.57
331,99.78
332,99.78
333,99.78
334,99.78
335,99.57
336,99.57
337,99.78
338,99.78
339,99.78
340,99.78
341,99.57
342,99.78
343,99.78
344,99.78
345,99.78
346,99.78
347,99.78
348,99.78
349,99.78
350,99.78
351,99.78
352,99.78
353,99.78
354,99.78
355,99.78
356,99.78
357,99.78
358,99.78
359,99.78
360,99.78
361,99.78
362,99.78
363,99.78
364,99.78
365,99.78
366,99.78
367,99.78
368,99.78
369,99.78
370,99.78
371,99.78
372,99.78
373,99.78
374,99.78
375,99.78
376,99.78
377,99.78
378,99.78
379,99.78
380,99.78
381,99.78
382,99.78
383,99.78
384,99.78
385,99.78
386,99.78
387,99.78
388,99.78
389,99.57
390,99.78
391,99.78
392,99.78
393,99.78
394,99.78
395,99.78
396,99.78
397,99.78
398,99.78
399,99.78
400,99.57
401,99.78
402,99.78
403,99.78
404,99.78
405,99.78
406,99.78
407,99.78
408,99.78
409,99.57
410,99.78
411,99.78
412,99.78
413,99.78
414,99.78
415,100.00
416,99.78
417,99.78
418,99.78
419,99.78
420,99.78
421,99.78
422,99.78
423,99.78
424,99.78
425,99.78
426,99.78
427,99.78
428,99.78
429,99.78
430,99.78
431,99.78
432,99.78
433,99.78
434,99.57
435,99.78
436,99.57
437,99.78
438,99.78
439,99.57
440,99.78
441,99.78
442,99.78
443,99.78
444,99.78
445,99.78
446,99.78
447,99.78
448,99.78
449,99.78
450,99.78
451,99.78
452,99.78
453,99.78
454,99.78
455,99.78
456,99.78
457,99.78
458,99.78
459,99.78
460,99.78
461,99.78
462,99.78
463,99.78
464,99.78
465,99.78
466,99.78
467,99.78
468,99.78
469,99.78
470,99.78
471,99.78
472,99.78
473,99.78
474,99.78
475,99.78
476,99.78
477,99.78
478,99.78
479,99.78
480,99.78
481,99.57
482,99.78
483,99.78
484,99.78
485,99.78
486,99.78
487,99.78
488,99.78
489,99.78
490,99.78
491,99.78
492,99.78
493,99.78
494,99.78
495,99.78
496,99.78
497,99.78
498,99.78
499,99.78
